2021	2466	17.782
2020	2126	15.330
2019	1789	12.900
2022	1383	9.973
2018	1346	9.706
2017	1001	7.218
2016	696	5.019
2015	526	3.793
2014	419	3.021
2013	307	2.214
2012	261	1.882
2010	178	1.284
2009	160	1.154
2008	155	1.118
2011	153	1.103
2007	150	1.082
2005	132	0.952
2006	118	0.851
2004	98	0.707
2003	80	0.577
2001	62	0.447
2002	60	0.433
2000	50	0.361
1999	44	0.317
1998	31	0.224
